award_year,category,laureate_id
1901,Chemistry,160
1901,Literature,569
1901,Peace,462
1901,Peace,463
1901,Physics,1
1901,Physiology or Medicine,293
1902,Chemistry,161
1902,Literature,571
1902,Peace,464
1902,Peace,465
1902,Physics,2
1902,Physics,3
1902,Physiology or Medicine,294
1903,Chemistry,162
1903,Literature,572
1903,Peace,466
1903,Physics,4
1903,Physics,5
1903,Physics,6
1903,Physiology or Medicine,295
1904,Chemistry,163
1904,Literature,573
1904,Literature,574
1904,Peace,467
1904,Physics,8
1904,Physiology or Medicine,296
1905,Chemistry,164
1905,Literature,575
1905,Peace,468
1905,Physics,9
1905,Physiology or Medicine,297
1906,Chemistry,165
1906,Literature,576
1906,Peace,470
1906,Physics,10
1906,Physiology or Medicine,298
1906,Physiology or Medicine,299
1907,Chemistry,166
1907,Literature,577
1907,Peace,471
1907,Peace,472
1907,Physics,11
1907,Physiology or Medicine,300
1908,Chemistry,167
1908,Literature,578
1908,Peace,473
1908,Peace,474
1908,Physics,12
1908,Physiology or Medicine,301
1908,Physiology or Medicine,302
1909,Chemistry,168
1909,Literature,579
1909,Peace,475
1909,Peace,476
1909,Physics,13
1909,Physics,14
1909,Physiology or Medicine,303
1910,Chemistry,169
1910,Literature,580
1910,Peace,477
1910,Physics,15
1910,Physiology or Medicine,304
1911,Chemistry,6
1911,Literature,581
1911,Peace,478
1911,Peace,479
1911,Physics,16
1911,Physiology or Medicine,305
1912,Chemistry,172
1912,Chemistry,173
1912,Literature,582
1912,Peace,480
1912,Physics,17
1912,Physiology or Medicine,306
1913,Chemistry,174
1913,Literature,583
1913,Peace,481
1913,Physics,18
1913,Physiology or Medicine,307
1914,Chemistry,175
1914,Physics,19
1914,Physiology or Medicine,308
1915,Chemistry,176
1915,Literature,584
1915,Physics,20
1915,Physics,21
1916,Literature,585
1917,Literature,586
1917,Literature,587
1917,Peace,482
1917,Physics,22
1918,Chemistry,177
1918,Physics,23
1919,Literature,588
1919,Peace,483
1919,Physics,24
1919,Physiology or Medicine,309
1920,Chemistry,178
1920,Literature,589
1920,Peace,484
1920,Physics,25
1920,Physiology or Medicine,310
1921,Chemistry,179
1921,Literature,590
1921,Peace,485
1921,Peace,486
1921,Physics,26
1922,Chemistry,180
1922,Literature,592
1922,Peace,487
1922,Physics,27
1922,Physiology or Medicine,311
1922,Physiology or Medicine,312
1923,Chemistry,181
1923,Literature,593
1923,Physics,28
1923,Physiology or Medicine,313
1923,Physiology or Medicine,314
1924,Literature,594
1924,Physics,29
1924,Physiology or Medicine,315
1925,Chemistry,182
1925,Literature,596
1925,Peace,488
1925,Peace,489
1925,Physics,30
1925,Physics,31
1926,Chemistry,183
1926,Literature,597
1926,Peace,490
1926,Peace,491
1926,Physics,32
