id,known_name,full_name,motivation,award_year,category
160,Jacobus H. van 't Hoff,Jacobus Henricus van 't Hoff,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1901,Chemistry
569,Sully Prudhomme,Sully Prudhomme,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1901,Literature
462,Henry Dunant,Jean Henry Dunant,for his humanitarian efforts to help wounded soldiers and create international understanding,1901,Peace
463,Frédéric Passy,Frédéric Passy,"for his lifelong work for international peace conferences, diplomacy and arbitration",1901,Peace
1,Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1901,Physics
293,Emil von Behring,Emil Adolf von Behring,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1901,Physiology or Medicine
161,Emil Fischer,Hermann Emil Fischer,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1902,Chemistry
571,Theodor Mommsen,Christian Matthias Theodor Mommsen,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1902,Literature
464,Élie Ducommun,Élie Ducommun,for his untiring and skilful directorship of the Bern Peace Bureau,1902,Peace
465,Albert Gobat,Charles Albert Gobat,for his eminently practical administration of the Inter-Parliamentary Union,1902,Peace
2,Hendrik A. Lorentz,Hendrik Antoon Lorentz,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1902,Physics
3,Pieter Zeeman,Pieter Zeeman,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1902,Physics
294,Ronald Ross,Ronald Ross,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1902,Physiology or Medicine
162,Svante Arrhenius,Svante August Arrhenius,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1903,Chemistry
572,Bjørnstjerne Bjørnson,Bjørnstjerne Martinus Bjørnson,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1903,Literature
466,Randal Cremer,William Randal Cremer,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1903,Peace
4,Henri Becquerel,Antoine Henri Becquerel,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1903,Physics
5,Pierre Curie,Pierre Curie,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1903,Physics
6,Marie Curie,"Marie Curie, née Skłodowska",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1903,Physics
295,Niels Ryberg Finsen,Niels Ryberg Finsen,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1903,Physiology or Medicine
