award_year,category,prize_amount,prize_amount_adjusted
1901,Chemistry,150782,10531894
1901,Literature,150782,10531894
1901,Peace,150782,10531894
1901,Physics,150782,10531894
1901,Physiology or Medicine,150782,10531894
1902,Chemistry,141847,9907798
1902,Literature,141847,9907798
1902,Peace,141847,9907798
1902,Physics,141847,9907798
1902,Physiology or Medicine,141847,9907798
1903,Chemistry,141358,9583241
1903,Literature,141358,9583241
1903,Peace,141358,9583241
1903,Physics,141358,9583241
1903,Physiology or Medicine,141358,9583241
1904,Chemistry,140859,9549412
1904,Literature,140859,9549412
1904,Peace,140859,9549412
1904,Physics,140859,9549412
1904,Physiology or Medicine,140859,9549412
1905,Chemistry,138089,9361622
1905,Literature,138089,9361622
1905,Peace,138089,9361622
1905,Physics,138089,9361622
1905,Physiology or Medicine,138089,9361622
1906,Chemistry,138536,9123585
1906,Literature,138536,9123585
1906,Peace,138536,9123585
1906,Physics,138536,9123585
1906,Physiology or Medicine,138536,9123585
1907,Chemistry,138796,8646616
1907,Literature,138796,8646616
1907,Peace,138796,8646616
1907,Physics,138796,8646616
1907,Physiology or Medicine,138796,8646616
1908,Chemistry,139800,8709162
1908,Literature,139800,8709162
1908,Peace,139800,8709162
1908,Physics,139800,8709162
1908,Physiology or Medicine,139800,8709162
1909,Chemistry,139800,8709162
1909,Literature,139800,8709162
1909,Peace,139800,8709162
1909,Physics,139800,8709162
1909,Physiology or Medicine,139800,8709162
1910,Chemistry,140703,8765417
1910,Literature,140703,8765417
1910,Peace,140703,8765417
1910,Physics,140703,8765417
1910,Physiology or Medicine,140703,8765417
1911,Chemistry,140695,9008388
1911,Literature,140695,9008388
1911,Peace,140695,9008388
1911,Physics,140695,9008388
1911,Physiology or Medicine,140695,9008388
1912,Chemistry,140476,8302492
1912,Literature,140476,8302492
1912,Peace,140476,8302492
1912,Physics,140476,8302492
1912,Physiology or Medicine,140476,8302492
1913,Chemistry,143010,8452258
1913,Literature,143010,8452258
1913,Peace,143010,8452258
1913,Physics,143010,8452258
1913,Physiology or Medicine,143010,8452258
1914,Chemistry,146900,8682167
1914,Literature,146900,8682167
1914,Peace,146900,8682167
1914,Physics,146900,8682167
1914,Physiology or Medicine,146900,8682167
1915,Chemistry,149223,7643534
1915,Literature,149223,7643534
1915,Peace,149223,7643534
1915,Physics,149223,7643534
1915,Physiology or Medicine,149223,7643534
1916,Chemistry,131793,5956527
1916,Literature,131793,5956527
1916,Peace,131793,5956527
1916,Physics,131793,5956527
1916,Physiology or Medicine,131793,5956527
1917,Chemistry,133823,4819719
1917,Literature,133823,4819719
1917,Peace,133823,4819719
1917,Physics,133823,4819719
1917,Physiology or Medicine,133823,4819719
1918,Chemistry,138198,3500510
1918,Literature,138198,3500510
1918,Peace,138198,3500510
1918,Physics,138198,3500510
1918,Physiology or Medicine,138198,3500510
1919,Chemistry,133127,2922455
1919,Literature,133127,2922455
1919,Peace,133127,2922455
1919,Physics,133127,2922455
1919,Physiology or Medicine,133127,2922455
1920,Chemistry,134100,2943814
1920,Literature,134100,2943814
1920,Peace,134100,2943814
1920,Physics,134100,2943814
1920,Physiology or Medicine,134100,2943814
1921,Chemistry,121573,3113620
1921,Literature,121573,3113620
1921,Peace,121573,3113620
1921,Physics,121573,3113620
1921,Physiology or Medicine,121573,3113620
1922,Chemistry,122483,3867443
1922,Literature,122483,3867443
1922,Peace,122483,3867443
1922,Physics,122483,3867443
1922,Physiology or Medicine,122483,3867443
1923,Chemistry,114935,3895958
1923,Literature,114935,3895958
1923,Peace,114935,3895958
1923,Physics,114935,3895958
1923,Physiology or Medicine,114935,3895958
1924,Chemistry,116719,3956431
1924,Literature,116719,3956431
1924,Peace,116719,3956431
1924,Physics,116719,3956431
1924,Physiology or Medicine,116719,3956431
1925,Chemistry,118165,3947396
1925,Literature,118165,3947396
1925,Peace,118165,3947396
1925,Physics,118165,3947396
1925,Physiology or Medicine,118165,3947396
1926,Chemistry,116960,4023773
1926,Literature,116960,4023773
1926,Peace,116960,4023773
1926,Physics,116960,4023773
1926,Physiology or Medicine,116960,4023773
1927,Chemistry,126501,4417952
1927,Literature,126501,4417952
1927,Peace,126501,4417952
1927,Physics,126501,4417952
1927,Physiology or Medicine,126501,4417952
1928,Chemistry,156939,5480976
1928,Literature,156939,5480976
1928,Peace,156939,5480976
1928,Physics,156939,5480976
1928,Physiology or Medicine,156939,5480976
1929,Chemistry,172760,6033512
1929,Literature,172760,6033512
1929,Peace,172760,6033512
1929,Physics,172760,6033512
1929,Physiology or Medicine,172760,6033512
1930,Chemistry,172947,6228794
1930,Literature,172947,6228794
1930,Peace,172947,6228794
1930,Physics,172947,6228794
1930,Physiology or Medicine,172947,6228794
1931,Chemistry,173206,6439352
1931,Literature,173206,6439352
1931,Peace,173206,6439352
1931,Physics,173206,6439352
1931,Physiology or Medicine,173206,6439352
1932,Chemistry,171753,6490011
1932,Literature,171753,6490011
1932,Peace,171753,6490011
1932,Physics,171753,6490011
1932,Physiology or Medicine,171753,6490011
1933,Chemistry,170332,6654496
1933,Literature,170332,6654496
1933,Peace,170332,6654496
1933,Physics,170332,6654496
1933,Physiology or Medicine,170332,6654496
1934,Chemistry,162608,6352736
1934,Literature,162608,6352736
1934,Peace,162608,6352736
1934,Physics,162608,6352736
1934,Physiology or Medicine,162608,6352736
1935,Chemistry,159917,6143478
1935,Literature,159917,6143478
1935,Peace,159917,6143478
1935,Physics,159917,6143478
1935,Physiology or Medicine,159917,6143478
1936,Chemistry,159850,6040234
1936,Literature,159850,6040234
1936,Peace,159850,6040234
1936,Physics,159850,6040234
1936,Physiology or Medicine,159850,6040234
1937,Chemistry,158463,5797734
1937,Literature,158463,5797734
1937,Peace,158463,5797734
1937,Physics,158463,5797734
1937,Physiology or Medicine,158463,5797734
1938,Chemistry,155077,5585195
1938,Literature,155077,5585195
1938,Peace,155077,5585195
1938,Physics,155077,5585195
1938,Physiology or Medicine,155077,5585195
1939,Chemistry,148822,5197496
1939,Literature,148822,5197496
1939,Peace,148822,5197496
1939,Physics,148822,5197496
1939,Physiology or Medicine,148822,5197496
1940,Chemistry,138570,4316268
1940,Literature,138570,4316268
1940,Peace,138570,4316268
1940,Physics,138570,4316268
1940,Physiology or Medicine,138570,4316268
1941,Chemistry,131496,3608313
1941,Literature,131496,3608313
1941,Peace,131496,3608313
1941,Physics,131496,3608313
1941,Physiology or Medicine,131496,3608313
1942,Chemistry,131891,3377875
1942,Literature,131891,3377875
1942,Peace,131891,3377875
1942,Physics,131891,3377875
1942,Physiology or Medicine,131891,3377875
1943,Chemistry,123691,3098997
1943,Literature,123691,3098997
1943,Peace,123691,3098997
1943,Physics,123691,3098997
1943,Physiology or Medicine,123691,3098997
1944,Chemistry,121841,3086192
1944,Literature,121841,3086192
1944,Peace,121841,3086192
1944,Physics,121841,3086192
1944,Physiology or Medicine,121841,3086192
1945,Chemistry,121333,3073325
1945,Literature,121333,3073325
1945,Peace,121333,3073325
1945,Physics,121333,3073325
1945,Physiology or Medicine,121333,3073325
1946,Chemistry,121524,3078163
1946,Literature,121524,3078163
1946,Peace,121524,3078163
1946,Physics,121524,3078163
1946,Physiology or Medicine,121524,3078163
1947,Chemistry,146115,3582926
1947,Literature,146115,3582926
1947,Peace,146115,3582926
1947,Physics,146115,3582926
1947,Physiology or Medicine,146115,3582926
1948,Chemistry,159773,3757926
1948,Literature,159773,3757926
1948,Peace,159773,3757926
1948,Physics,159773,3757926
1948,Physiology or Medicine,159773,3757926
1949,Chemistry,156290,3602485
1949,Literature,156290,3602485
1949,Peace,156290,3602485
1949,Physics,156290,3602485
1949,Physiology or Medicine,156290,3602485
1950,Chemistry,164304,3749710
1950,Literature,164304,3749710
1950,Peace,164304,3749710
1950,Physics,164304,3749710
1950,Physiology or Medicine,164304,3749710
1951,Chemistry,167612,3302100
1951,Literature,167612,3302100
1951,Peace,167612,3302100
1951,Physics,167612,3302100
1951,Physiology or Medicine,167612,3302100
1952,Chemistry,171135,3130684
1952,Literature,171135,3130684
1952,Peace,171135,3130684
1952,Physics,171135,3130684
1952,Physiology or Medicine,171135,3130684
1953,Chemistry,175293,3156643
1953,Literature,175293,3156643
1953,Peace,175293,3156643
1953,Physics,175293,3156643
1953,Physiology or Medicine,175293,3156643
1954,Chemistry,181647,3245708
1954,Literature,181647,3245708
1954,Peace,181647,3245708
1954,Physics,181647,3245708
1954,Physiology or Medicine,181647,3245708
